t,x_true,y_true,x_obs
3.389830508474576121e+00,-1.717665793097198801e+00,-2.220986668888448090e+00,-1.791610738515303058e+00
3.559322033898304927e+00,-1.959241235221091282e+00,-7.536381095380404460e-01,-2.231613052982667877e+00
3.728813559322033733e+00,-2.019066609804030854e+00,-6.104329801987606885e-02,-1.530050074334418753e+00
3.898305084745762539e+00,-2.004403131145287453e+00,1.911595536977286902e-01,-2.066214923972808482e+00
4.067796610169491345e+00,-1.962929932307926117e+00,2.841389790605304277e-01,-2.134261061173169161e+00
4.237288135593219707e+00,-1.910856240228319125e+00,3.259339829434721447e-01,-2.051709660423611137e+00
4.406779661016948957e+00,-1.853281355324000179e+00,3.522276292350114413e-01,-1.640357681102660781e+00
4.576271186440678207e+00,-1.791645428413838781e+00,3.749750681983321510e-01,-1.645467802668207469e+00
4.745762711864406569e+00,-1.726112676085462150e+00,3.986939353103613470e-01,-1.561019631447066791e+00
4.915254237288134931e+00,-1.656310893648940352e+00,4.256576254773781209e-01,-1.483982492445787171e+00
5.084745762711864181e+00,-1.581537979558567786e+00,4.576571714950403713e-01,-7.248789392103832663e-01
5.254237288135593431e+00,-1.500773699592063970e+00,4.967478659111288497e-01,-1.663339706145910313e+00
5.423728813559321793e+00,-1.412590079098572371e+00,5.457757030803727094e-01,-1.617487170727187396e+00
5.593220338983050155e+00,-1.314965867440776481e+00,6.090283720100455600e-01,-1.640474958739927658e+00
5.762711864406779405e+00,-1.204960131082828401e+00,6.933026339424223083e-01,-9.585683620526301851e-01
5.932203389830508655e+00,-1.078139964013016039e+00,8.098363342531019748e-01,-6.265510469246593495e-01
6.101694915254237017e+00,-9.275532796193782792e-01,9.779252171910421954e-01,-9.731322626813283527e-01
6.271186440677965379e+00,-7.418533126490635121e-01,1.231572559723137950e+00,-1.077915903434074618e+00
6.440677966101694629e+00,-5.019652591301666522e-01,1.629842458671334260e+00,-8.317577454066624743e-01
6.610169491525423879e+00,-1.762490090426002409e-01,2.259585733874397206e+00,8.398810608728021765e-02
6.779661016949152241e+00,2.793196247692711909e-01,3.145947080739614599e+00,5.766212932506480371e-01
6.949152542372880603e+00,8.799383053289300261e-01,3.810904439711689573e+00,1.097200012651007972e+00
7.118644067796609853e+00,1.488508958143892391e+00,3.081097362437544618e+00,1.222305075228414584e+00
7.288135593220339103e+00,1.867931302449943098e+00,1.405074584573290597e+00,1.960795831676630963e+00
7.457627118644067465e+00,2.003169347652717480e+00,3.312173704758621939e-01,2.049843671309008908e+00
7.627118644067795827e+00,2.017092133708336732e+00,-9.515556204585164102e-02,2.104567572399941966e+00
7.796610169491525077e+00,1.985936315369822180e+00,-2.474356433191385041e-01,2.334507826549097942e+00
7.966101694915254328e+00,1.938189735409807657e+00,-3.079872838521131029e-01,2.027627954919680509e+00
8.135593220338982690e+00,1.883089686574434873e+00,-3.397818163072016118e-01,2.154655111803192913e+00
8.305084745762711051e+00,1.823444579934280219e+00,-3.634921879555049196e-01,1.850476207729836897e+00
8.474576271186439413e+00,1.759913159274834493e+00,-3.863551961473764562e-01,1.875560918750828199e+00
8.644067796610169552e+00,1.692349381199214964e+00,-4.114394559509728655e-01,1.944864671534631162e+00
8.813559322033897914e+00,1.620208874820648903e+00,-4.406526236733648849e-01,1.037346546878382458e+00
8.983050847457626276e+00,1.542638701434185133e+00,-4.758465910103140128e-01,1.414770214891264644e+00
9.152542372881356414e+00,1.458434730696980042e+00,-5.193983302867316576e-01,1.270285668979861837e+00
9.322033898305084776e+00,1.365907484711173625e+00,-5.747634609908488512e-01,1.110356345413836765e+00
9.491525423728813138e+00,1.262636051944290294e+00,-6.472903581906915838e-01,1.152579151453616779e+00
9.661016949152541500e+00,1.145038842366001619e+00,-7.456393235481605375e-01,1.743015366859760107e+00
9.830508474576269862e+00,1.007612907536237890e+00,-8.844083056292213474e-01,6.612804612589405773e-01
1.000000000000000000e+01,8.415536329947804761e-01,-1.089047879936533292e+00,1.228864974831372692e+00
